City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Castro,BR,2021-08-22 01:31:50,-24.7911,-50.0119,58.96,65,0,4.09,clear sky
94,Barrow,US,2021-08-22 01:31:38,71.2906,-156.7887,37.42,87,90,19.57,overcast clouds
95,Itarema,BR,2021-08-22 01:33:06,-2.9248,-39.9167,77.18,83,3,16.06,clear sky
96,Abonnema,NG,2021-08-22 01:33:07,4.7084,6.7931,75.49,92,94,1.7,moderate rain
97,Torbay,CA,2021-08-22 01:32:27,47.6666,-52.7314,53.28,93,40,6.91,scattered clouds
98,Punta Arenas,CL,2021-08-22 01:30:07,-53.15,-70.9167,37.51,56,90,8.05,overcast clouds
99,Bahia Blanca,AR,2021-08-22 01:33:07,-38.7196,-62.2724,51.01,61,60,15.84,broken clouds
100,Lagoa,PT,2021-08-22 01:31:56,39.05,-27.9833,73.24,88,14,10.98,few clouds
101,Kruisfontein,ZA,2021-08-22 01:31:44,-34.0033,24.7314,44.89,88,3,7.49,clear sky
102,Hami,CN,2021-08-22 01:33:08,42.8,93.45,77.54,21,0,14.94,clear sky
103,Avarua,CK,2021-08-22 01:28:42,-21.2078,-159.775,78.85,83,75,12.66,broken clouds
104,Clyde River,CA,2021-08-22 01:32:11,70.4692,-68.5914,40.37,84,44,6.78,scattered clouds
105,Bengkulu,ID,2021-08-22 01:33:08,-3.8004,102.2655,79.05,76,100,2.06,overcast clouds
106,Vaini,TO,2021-08-22 01:31:20,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
107,Vangaindrano,MG,2021-08-22 01:33:09,-23.35,47.6,68.13,93,87,2.57,light rain
108,Neuquen,AR,2021-08-22 01:29:16,-38.9516,-68.0591,48.09,76,75,3.44,broken clouds
109,Melbu,NO,2021-08-22 01:33:09,68.5044,14.8297,45.32,80,100,5.86,overcast clouds
110,Ballina,AU,2021-08-22 01:33:10,-28.8667,153.5667,73.44,68,40,9.22,scattered clouds
111,Collie,AU,2021-08-22 01:33:10,-33.3667,116.15,49.98,58,97,7.63,overcast clouds
112,Sao Filipe,CV,2021-08-22 01:31:44,14.8961,-24.4956,79.03,82,47,6.26,scattered clouds
113,Prachuap Khiri Khan,TH,2021-08-22 01:33:10,12.2167,99.75,82.71,61,97,3.67,overcast clouds
114,Stornoway,GB,2021-08-22 01:33:11,58.2093,-6.3865,57.16,94,90,3.44,overcast clouds
115,Hutchinson,US,2021-08-22 01:28:37,38.0608,-97.9298,81.63,57,1,3.44,clear sky
116,College,US,2021-08-22 01:29:05,64.8569,-147.8028,56.86,72,75,14.97,light rain
117,Kushmurun,KZ,2021-08-22 01:33:12,52.4503,64.6311,74.12,42,0,6.87,clear sky
118,Qaanaaq,GL,2021-08-22 01:27:18,77.484,-69.3632,33.44,83,11,3.53,few clouds
119,Sioux Lookout,CA,2021-08-22 01:33:12,50.1001,-91.917,59.38,72,75,19.57,broken clouds
120,Moose Jaw,CA,2021-08-22 01:33:12,50.4001,-105.5344,68.25,40,100,3.44,overcast clouds
121,Georgetown,MY,2021-08-22 01:30:16,5.4112,100.3354,75.88,89,20,6.91,few clouds
122,Gornopravdinsk,RU,2021-08-22 01:33:13,60.05,69.9,69.82,75,87,6.08,overcast clouds
123,Lasa,IT,2021-08-22 01:32:13,46.6166,10.7002,65.28,86,96,2.24,overcast clouds
124,Kenai,US,2021-08-22 01:32:20,60.5544,-151.2583,65.03,42,1,9.22,clear sky
125,Hilo,US,2021-08-22 01:27:50,19.7297,-155.09,83.93,70,20,13.8,few clouds
126,Havre-Saint-Pierre,CA,2021-08-22 01:33:13,50.2334,-63.5986,60.8,88,1,0.0,clear sky
127,Kisangani,CD,2021-08-22 01:33:13,0.5167,25.2,67.41,98,64,2.13,broken clouds
128,Halifax,CA,2021-08-22 01:32:06,44.6453,-63.5724,67.41,91,87,1.14,overcast clouds
129,Tuatapere,NZ,2021-08-22 01:31:57,-46.1333,167.6833,60.82,74,99,8.77,overcast clouds
130,Yanaul,RU,2021-08-22 01:33:14,56.2719,54.9309,70.79,40,22,6.71,few clouds
131,Horn Lake,US,2021-08-22 01:33:14,34.9554,-90.0348,84.54,85,75,4.61,broken clouds
132,Atuona,PF,2021-08-22 01:31:38,-9.8,-139.0333,77.09,77,14,18.52,few clouds
133,Klaksvik,FO,2021-08-22 01:28:08,62.2266,-6.589,52.72,93,100,18.32,overcast clouds
134,Touros,BR,2021-08-22 01:30:44,-5.1989,-35.4608,74.3,83,4,13.98,clear sky
135,Nampula,MZ,2021-08-22 01:33:15,-15.1165,39.2666,66.15,100,20,8.05,mist
136,Kinsale,IE,2021-08-22 01:33:15,51.7075,-8.5306,56.57,94,40,5.75,scattered clouds
137,Furukawa,JP,2021-08-22 01:33:15,38.5717,140.9556,77.94,93,100,2.64,light rain
