City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
586,Shahrud,IR,70.2,broken clouds,36.4182,54.9763,Royal Hotel
588,El Sauzal,MX,70.41,clear sky,31.9,-116.6833,La Rosas Hotel & Spa
589,Iluppur,IN,78.15,overcast clouds,10.5135,78.6236,Unknown
592,Iraucuba,BR,73.71,clear sky,-3.7461,-39.7833,Hotel Terra da Amizade
593,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
594,Kawalu,ID,76.08,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
595,North Bend,US,65.91,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
597,Sennoy,RU,66.85,scattered clouds,52.1509,46.9631,Guesthouse Sennoi na Zelenoi
598,Melton,AU,67.78,clear sky,-37.6833,144.5833,Mantra Melbourne Melton
600,Mareeba,AU,74.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
601,Mitsamiouli,KM,76.3,light rain,-11.3847,43.2844,Foyer ADM
603,Mandiana,GN,72.37,light rain,10.6333,-8.6833,Motels rouzo
604,Athabasca,CA,66.02,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
605,Senneterre,CA,77.22,overcast clouds,48.3835,-77.2328,Motel Senabi
606,Lhokseumawe,ID,78.12,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
611,Broome,US,73.78,clear sky,42.2506,-75.833,Chenango Valley State Park
612,Pindobacu,BR,65.52,few clouds,-10.7417,-40.3608,Hotel Valmont
616,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
625,Darnah,LY,77.47,clear sky,32.766999999999996,22.6367,فندق الفردوس
626,Nantucket,US,76.03,mist,41.2835,-70.0995,Jared Coffin House
628,Guerrero Negro,MX,70.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
635,Samana,DO,79.88,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
636,Cheney,US,70.75,broken clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
638,Zaraza,VE,76.41,overcast clouds,9.3503,-65.3245,Hotel Zaraza
641,Trenggalek,ID,78.57,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
643,Sibolga,ID,78.89,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
645,Nicoya,CR,72.95,light rain,10.1483,-85.45200000000001,Las Cabinas Del Sueño
648,Port Macquarie,AU,71.56,clear sky,-31.4333,152.9167,Rydges Port Macquarie
654,Wajir,KE,74.43,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
659,Sijunjung,ID,73.06,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
660,Tekeli,KZ,71.08,clear sky,44.83,78.8239,Vuslat Tekeli
661,Artyom,AZ,77.14,clear sky,40.4723,50.333,Merdan Respect
662,Dali,CN,67.05,light rain,25.7,100.1833,Dali Travelling With Hostel
663,Chalisgaon,IN,75.29,overcast clouds,20.4667,75.0167,Shree Datta
664,Poum,NC,72.7,clear sky,-20.2333,164.0167,Gîte kajeon
666,Seoul,KR,79.99,broken clouds,37.5683,126.9778,롯데호텔 서울
667,Faanui,PF,78.93,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
668,Poronaysk,RU,65.08,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
669,Farsala,GR,74.34,clear sky,39.2947,22.3847,Aigli
673,Plast,RU,67.95,clear sky,54.3691,60.8136,S
674,Makokou,GA,67.28,broken clouds,0.5738,12.8642,Motel des voyageurs
681,Axim,GH,75.27,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
682,Atasu,KZ,67.12,clear sky,48.6814,71.6433,Dostyk
686,Eyl,SO,76.95,overcast clouds,7.9803,49.8164,Amiin Hotel
687,Satana,IN,72.66,overcast clouds,20.5833,74.2,Krishna pawar_1217 जय टायगर ग्रुप
688,Badvel,IN,79.77,scattered clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
689,Bembereke,BJ,68.97,broken clouds,10.2283,2.6634,Hotel Bio Guera
690,Khandyga,RU,72.43,overcast clouds,62.6667,135.6,Apel'sin
